ID,participantID,answeredOn,trialStart,trialEnd,trialTime,mode,Condition,DataTypeOrder,ChartType,QuestionType,DataType,questionNumber,overallQuestionNumber,ErrorCount,trial,block
1191,22,2021-07-26 18:09,Mon Jul 26 2021 13:06:32 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:09:30 GMT-0500 (Central Daylight Time),178849,study,2,0,chord,B,space,2,7,8,12,2
1137,32,2021-07-26 18:06,Mon Jul 26 2021 13:06:44 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:06:52 GMT-0500 (Central Daylight Time),7908,practice,4,-1,chord,A,sample,4,7,0,2,1
1143,32,2021-07-26 18:07,Mon Jul 26 2021 13:06:52 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:07:09 GMT-0500 (Central Daylight Time),16246,practice,4,-1,chord,A,sample,5,7,0,3,1
2436,55,2021-07-26 20:07,Mon Jul 26 2021 13:06:57 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:07:58 GMT-0700 (Pacific Daylight Time),61316,study,3,1,sankey,A,space,5,7,5,5,1
1153,32,2021-07-26 18:07,Mon Jul 26 2021 13:07:18 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:07:34 GMT-0500 (Central Daylight Time),16635,study,4,2,sankey,B,immigration,1,7,0,1,1
1156,32,2021-07-26 18:07,Mon Jul 26 2021 13:07:35 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:07:42 GMT-0500 (Central Daylight Time),6905,study,4,2,sankey,B,immigration,2,7,0,2,1
1162,32,2021-07-26 18:07,Mon Jul 26 2021 13:07:42 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:07:56 GMT-0500 (Central Daylight Time),14395,study,4,2,sankey,B,immigration,3,7,0,3,1
1165,32,2021-07-26 18:08,Mon Jul 26 2021 13:07:56 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:08:04 GMT-0500 (Central Daylight Time),7352,study,4,2,sankey,B,immigration,4,7,0,4,1
1169,32,2021-07-26 18:08,Mon Jul 26 2021 13:08:04 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:08:11 GMT-0500 (Central Daylight Time),6880,study,4,2,sankey,B,immigration,5,7,0,5,1
2437,55,2021-07-26 20:08,Mon Jul 26 2021 13:08:04 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:08:15 GMT-0700 (Pacific Daylight Time),11572,study,3,1,chord,B,space,1,7,1,6,1
